dBLUE,dDVI,dEVI,dGREEN,dLSWI,dNBR,dNBR2,dNBR_,dNDRE1,dNDSI,dNDVI,dNDWI,dNIR,dPEP,dRDFI,dRED,dRED1,dRED2,dRED3,dRED4,dRVI,dSAVI,dSWIR1,dSWIR2,Landcover
-151.5,1615.5,1.396184693,15.5,0.026602666,1.151294965,0.760751543,-0.897728491,0.43622449,0.444001785,0.68648046,-0.432088762,1425,-5.177295918,1.174453702,-190.5,171.5,1193.5,1364,1491,-2.348907405,1.029553171,-353,-1035,1
-141,2283,1.344543753,103,-0.02385689,1.217619762,0.80850924,-0.979022199,0.473314208,0.490745621,0.6596423,-0.429631065,2163.5,-5.580662475,1.506913129,-119.5,386.5,1860,2171.5,2315.5,-3.013826257,0.989428454,-178,-987.5,1
-148,1509.5,1.420774068,-4.5,0.108939353,1.349161175,0.869080898,-1.067520559,0.503086021,0.522224526,0.7424581,-0.545196318,1373.5,-8.213112355,0.252489093,-136,105,967.5,1269,1350.5,-0.504978186,1.11351645,-373.5,-1034,1
-171.5,1638.5,1.340279283,13.5,0.050971321,1.2608764,0.843953141,-0.941602161,0.529449696,0.580747689,0.7491179,-0.57690013,1517.5,-7.130687864,0.337628464,-121,184,1214,1412,1538,-0.675256927,1.123485162,-141.5,-883.5,1
-122,1886,1.463906493,42.5,0.04555904,1.278475163,0.832067853,-0.998313533,0.53156562,0.5456296,0.72017384,-0.52290408,1787,-7.685549438,-0.058053647,-99,221,1379.5,1642.5,1756,0.116107293,1.080161698,-171.5,-845.5,1
-75,2072.5,1.531784948,92,6.01E-04,1.241116904,0.817262449,-1.014538711,0.509905254,0.461728413,0.65882874,-0.411464047,1981,-5.394056848,-42.90905852,-91.5,258,1612.5,1936,2118,85.81811704,0.988251635,-90,-797.5,1
-110,1967,1.543704376,33,0.049573318,1.274329165,0.859840574,-1.02657937,0.511123179,0.47303088,0.6801213,-0.447301364,1826.5,-6.196352611,2.920443033,-140.5,170.5,1369.5,1718.5,1863.5,-5.840886065,1.02015338,-253,-897,1
-171.5,2279.5,1.557735088,15.5,0.022916969,1.16576386,0.783499838,-0.892373029,0.480603817,0.511869129,0.70519626,-0.47751317,2060,-5.730055718,0.193181243,-219.5,237.5,1635,1907,2083,-0.386362486,1.057687654,-188,-1121,1
-132.5,3343,1.660495864,133,0.02892423,1.200661295,0.839869781,-0.908410642,0.503305259,0.515303696,0.7101279,-0.48497784,3176.5,-5.872156179,0.27004593,-166.5,466.5,2516,2954.5,3178,-0.540091859,1.065152947,-65,-989.5,1
-182.5,1677,1.337336536,-9.5,0.052446923,1.216141541,0.85187078,-0.891052563,0.469313544,0.581159195,0.7375667,-0.58074612,1539,-7.976836735,0.158026823,-138,231,1237.5,1501,1627.5,-0.316053647,1.106161198,-80.5,-860,1
