date,health,temperature,humidity,light_intensity,soil_temperature,soil_humidity,co2,rain
2021/1/19 21:00,1,0,20,55,17,91,1765,1
2021/1/19 22:00,1,0,19,55,17,91,2428,1
2021/1/19 23:00,1,0,19,55,17,91,2636,1
2021/1/20 0:00,1,0,18,55,16,92,2822,1
2021/1/20 1:00,1,0,18,55,16,92,3008,1
2021/1/20 2:00,1,0,18,55,16,92,3189,1
2021/1/20 3:00,1,0,18,55,15,92,3346,1
2021/1/20 4:00,1,0,18,55,15,92,3489,1
2021/1/20 5:00,1,0,17,56,15,92,3615,1
2021/1/20 6:00,1,0,17,56,15,92,3750,1
2021/1/20 7:00,1,0,17,56,15,93,3879,1
2021/1/20 8:00,1,516,17,56,15,93,3925,1
2021/1/20 9:00,1,3621,17,56,14,90,3803,1
2021/1/20 10:00,1,5702,17,56,15,90,3493,1
2021/1/20 11:00,1,6792,18,56,17,90,3441,1
2021/1/20 12:00,1,11280,18,56,19,88,3208,1
2021/1/20 13:00,1,21691,22,56,23,74,1968,1
2021/1/20 14:00,1,21381,22,55,22,74,656,1
2021/1/20 15:00,1,9482,22,55,22,84,806,1
2021/1/20 16:00,1,2449,20,55,19,88,1089,1
2021/1/20 17:00,1,0,19,55,18,91,1437,1
2021/1/20 18:00,1,0,19,55,17,92,1718,1
2021/1/20 19:00,1,0,18,55,17,93,1956,1
2021/1/20 20:00,1,0,18,56,17,93,2225,1
2021/1/20 21:00,1,0,18,56,17,93,2490,1
2021/1/20 22:00,1,0,18,56,16,94,2704,1
2021/1/20 23:00,1,0,17,56,16,94,2896,1
2021/1/21 0:00,1,0,17,56,16,94,3098,1
2021/1/21 1:00,1,0,17,56,16,94,3264,1
2021/1/21 2:00,1,0,17,56,16,94,3434,1
2021/1/21 3:00,1,0,17,56,16,94,3582,1
2021/1/21 4:00,1,0,17,56,15,94,3719,1
2021/1/21 5:00,1,0,17,56,15,94,3834,1
2021/1/21 6:00,1,0,17,56,15,95,3952,1
2021/1/21 7:00,1,0,16,56,15,95,4072,1
2021/1/21 8:00,1,0,16,57,15,95,4145,1
2021/1/21 9:00,1,1013,16,57,15,94,4211,1
2021/1/21 10:00,1,2685,16,57,14,92,4293,1
2021/1/21 11:00,1,6218,17,57,16,90,3874,1
